Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
Uni Abex Alloy,504605,,INE361D01012,Industrial Products,Iron & Steel Products,2948.40,582.31,16.69,0.12,26.26,13.52,44.24,63.63,0.01,0.00,1.21,3.85
Unichem Labs.,506690,UNICHEMLAB,INE351A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,327.00,2302.27,21.90,0.21,5.59,13.85,29.11,70.22,19.29,0.00,0.00,0.95
Unicommerce,544227,UNIECOM,INE00U401027,IT - Software,Software Products,93.09,1046.14,51.30,0.06,24.78,,,36.02,,0.00,0.00,5.94
Unified Data,544406,,INE1ABX01018,IT - Services,IT Enabled Services,336.05,675.13,22.99,0.00,36.49,,,60.39,,0.00,0.00,5.87
Unihealth Hosp,,UNIHEALTH,INE0PRF01011,Healthcare Services,Hospital,434.35,681.93,28.28,0.14,16.03,20.12,75.91,69.14,,0.00,0.00,5.38
Unimech Aero.,544322,UNIMECH,INE0U3I01011,Aerospace & Defense,Aerospace & Defense,803.00,4083.82,61.53,0.16,19.91,,,79.82,,0.00,0.00,5.75
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks,Public Sector Bank,185.50,141603.41,7.44,9.95,17.05,23.67,50.74,74.76,-8.73,0.00,2.56,1.09
Uniparts India,543689,UNIPARTS,INE244O01017,Auto Components,Auto Components & Equipments,504.10,2275.69,17.16,0.13,9.99,1.22,8.82,65.89,0.10,0.00,3.01,2.47
Uniphos Enter.,500429,UNIENTER,INE037A01022,Chemicals & Petrochemicals,Trading - Chemicals,100.38,698.15,35.20,0.00,0.01,244.44,-57.73,73.79,0.01,0.00,0.50,0.24
Unitech,507878,UNITECH,INE694A01020,Realty,"Residential, Commercial Projects",4.86,1271.51,,,,-28.46,,5.13,0.00,3.72,0.00,
United Breweries,532478,UBL,INE686F01025,Beverages,Breweries & Distilleries,1465.00,38735.35,92.20,0.18,10.77,6.49,1.46,70.84,-1.87,12.40,0.68,8.89
United Foodbrands,543283,UFBL,INE382M01027,Leisure Services,Restaurants,263.25,1028.91,,2.52,-7.36,7.80,7.34,34.56,0.78,0.64,0.00,3.16
United Polyfab,,UNITEDPOLY,INE368U01029,Textiles & Apparels,Other Textile Products,26.67,612.16,27.44,0.90,19.99,17.92,38.27,51.51,5.97,0.00,0.00,5.04
United Spirits,532432,UNITDSPR,INE854D01024,Beverages,Breweries & Distilleries,1252.40,91093.52,51.70,0.05,19.74,5.29,19.53,56.67,-0.06,1.18,0.97,10.85
Universal Cables,504212,UNIVCABLES,INE279A01012,Industrial Products,Cables - Electricals,758.15,2630.45,16.70,0.54,5.06,8.95,0.00,61.89,0.00,0.00,0.49,1.43
Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components,Auto Components & Equipments,1061.50,61293.28,52.90,0.46,17.50,21.94,40.73,68.41,-1.66,0.00,0.21,9.87
Updater Services,543996,UDS,INE851I01011,Commercial Services & Supplies,Diversified Commercial Services,153.20,1025.75,10.63,0.05,13.17,15.62,23.53,59.09,,0.00,0.00,1.03
UPL,512070,UPL,INE628A01036,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,644.05,54351.69,28.67,0.94,3.29,5.46,-16.10,33.51,2.77,0.00,0.94,1.71
Urban Company,544515,URBANCO,INE0CAZ01013,Retailing,E-Retail/ E-Commerce,126.10,19446.92,,0.06,15.52,39.24,27.58,20.29,,0.00,0.00,7.99
